"Student_ID","DBMS_Present","DBMS_Absent","DM_Present","DM_Absent","EAD_Present","EAD_Absent","EEA_Present","EEA_Absent","ES_Present","ES_Absent","PQT_Present","PQT_Absent","Attended_Classes","Absentee_Count","Risk_Label"
"5001","44","6","40","10","32","18","46","4","38","12","32","18","232","68","1"
"5002","46","4","42","8","32","18","46","4","40","10","28","22","234","66","1"
"5003","44","6","46","4","37","13","44","6","40","10","30","20","241","59","1"
"5004","48","2","40","10","34","16","44","6","36","14","33","17","235","65","1"
"5005","46","4","40","10","38","12","48","2","42","8","30","20","244","56","1"
"5006","49","1","41","9","34","16","43","7","42","8","30","20","239","61","1"
"5007","48","2","40","10","36","14","46","4","40","10","33","17","243","57","1"
"5008","50","0","42","8","34","16","48","2","40","10","32","18","246","54","1"
"5009","44","6","40","10","36","14","46","4","36","14","30","20","232","68","1"
"5010","46","4","44","6","32","18","48","2","37","13","28","22","235","65","1"
"5011","46","4","42","8","35","15","47","3","36","14","32","18","238","62","1"
"5012","46","4","41","9","38","12","44","6","37","13","28","22","234","66","1"
"5013","50","0","45","5","37","13","46","4","36","14","29","21","243","57","1"
"5014","48","2","42","8","35","15","46","4","36","14","28","22","235","65","1"
"5015","44","6","45","5","34","16","46","4","42","8","29","21","240","60","1"
"5016","46","4","44","6","35","15","47","3","42","8","30","20","244","56","1"
"5017","49","1","44","6","38","12","44","6","38","12","32","18","245","55","1"
"5018","47","3","40","10","36","14","46","4","40","10","31","19","240","60","1"
"5019","47","3","42","8","36","14","42","8","38","12","28","22","233","67","1"
"5020","49","1","42","8","38","12","46","4","37","13","31","19","243","57","1"
"5021","45","5","44","6","35","15","45","5","40","10","28","22","237","63","1"
"5022","50","0","40","10","34","16","47","3","38","12","32","18","241","59","1"
"5023","46","4","41","9","36","14","44","6","40","10","30","20","237","63","1"
"5024","46","4","44","6","38","12","46","4","42","8","30","20","246","54","1"
"5025","46","4","44","6","36","14","48","2","36","14","32","18","242","58","1"
"5026","44","6","42","8","34","16","47","3","42","8","28","22","237","63","1"
"5027","50","0","46","4","34","16","44","6","39","11","31","19","244","56","1"
"5028","46","4","44","6","37","13","42","8","40","10","28","22","237","63","1"
"5029","48","2","44","6","34","16","42","8","37","13","30","20","235","65","1"
"5030","48","2","41","9","38","12","46","4","38","12","28","22","239","61","1"
"5031","48","2","44","6","34","16","43","7","38","12","30","20","237","63","1"
"5032","49","1","40","10","36","14","44","6","42","8","29","21","240","60","1"
"5033","48","2","40","10","34","16","42","8","40","10","32","18","236","64","1"
"5034","46","4","46","4","37","13","46","4","40","10","32","18","247","53","1"
"5035","48","2","40","10","36","14","48","2","40","10","32","18","244","56","1"
"5036","46","4","41","9","38","12","42","8","38","12","31","19","236","64","1"
"5037","48","2","40","10","36","14","43","7","40","10","33","17","240","60","1"
"5038","46","4","40","10","34","16","48","2","37","13","32","18","237","63","1"
"5039","46","4","41","9","38","12","46","4","40","10","28","22","239","61","1"
"5040","46","4","41","9","38","12","46","4","38","12","30","20","239","61","1"
"5041","47","3","42","8","38","12","43","7","40","10","32","18","242","58","1"
"5042","50","0","43","7","35","15","48","2","36","14","30","20","242","58","1"
"5043","48","2","40","10","38","12","44","6","42","8","29","21","241","59","1"
"5044","44","6","42","8","32","18","44","6","38","12","28","22","228","72","1"
"5045","46","4","41","9","34","16","44","6","41","9","32","18","238","62","1"
"5046","46","4","45","5","34","16","46","4","40","10","31","19","242","58","1"
"5047","49","1","45","5","34","16","42","8","42","8","33","17","245","55","1"
"5048","48","2","42","8","34","16","48","2","40","10","30","20","242","58","1"
"5049","44","6","41","9","36","14","46","4","39","11","28","22","234","66","1"
"5050","50","0","42","8","33","17","45","5","40","10","31","19","241","59","1"
"5051","48","2","40","10","38","12","47","3","40","10","30","20","243","57","1"
"5052","48","2","40","10","35","15","48","2","42","8","32","18","245","55","1"
"5053","48","2","44","6","32","18","48","2","39","11","32","18","243","57","1"
"5054","50","0","44","6","34","16","48","2","42","8","29","21","247","53","1"
"5055","44","6","45","5","34","16","46","4","40","10","32","18","241","59","1"
"5056","46","4","40","10","34","16","48","2","42","8","32","18","242","58","1"
"5057","45","5","42","8","36","14","44","6","36","14","28","22","231","69","1"
"5058","49","1","40","10","38","12","42","8","40","10","32","18","241","59","1"
"5059","47","3","44","6","32","18","48","2","41","9","28","22","240","60","1"
"5060","44","6","44","6","38","12","47","3","36","14","32","18","241","59","1"
"5061","50","0","44","6","36","14","44","6","40","10","32","18","246","54","1"
"5062","48","2","42","8","32","18","42","8","36","14","28","22","228","72","1"
"5063","49","1","42","8","35","15","44","6","40","10","28","22","238","62","1"
"5064","48","2","42","8","32","18","46","4","37","13","30","20","235","65","1"
"5065","44","6","42","8","36","14","42","8","40","10","28","22","232","68","1"
"5066","46","4","46","4","34","16","44","6","41","9","30","20","241","59","1"
"5067","47","3","42","8","37","13","46","4","40","10","30","20","242","58","1"
"5068","49","1","42","8","35","15","42","8","37","13","33","17","238","62","1"
"5069","44","6","44","6","33","17","48","2","38","12","28","22","235","65","1"
"5070","47","3","44","6","36","14","48","2","37","13","30","20","242","58","1"
"5071","48","2","41","9","38","12","42","8","42","8","33","17","244","56","1"
"5072","46","4","40","10","32","18","46","4","38","12","30","20","232","68","1"
"5073","50","0","42","8","32","18","46","4","41","9","33","17","244","56","1"
"5074","44","6","41","9","32","18","46","4","39","11","27","23","229","71","1"
"5075","46","4","43","7","33","17","48","2","38","12","28","22","236","64","1"
